#{"t_start": 1699569896.4503598, "env_id": "Pendulum-v1"}
r,l,t
-937.843493,200,0.319345
-1110.938522,200,0.57587
-1485.768792,200,0.846195
-1078.81156,200,1.122077
-1752.136956,200,1.363218
-1293.805466,200,1.633902
-1643.925927,200,1.911704
-776.0193,200,2.180616
-963.558752,200,2.424631
-915.26964,200,2.68464
-1459.098385,200,8.204578
-860.629473,200,8.459698
-1578.209782,200,8.702715
-893.08412,200,8.950292
-1074.787743,200,9.200619
-969.258314,200,9.455765
-1721.529426,200,9.726301
-1042.65991,200,9.993922
-1875.827082,200,10.235851
-1303.940871,200,10.476582
-1679.845274,200,16.463274
-1059.477809,200,16.698743
-995.632383,200,16.940609
-973.445994,200,17.191097
-1471.035677,200,17.434975
-1327.201933,200,17.71587
-1200.752307,200,17.996701
-717.530973,200,18.34613
-880.017382,200,18.659911
-1405.980324,200,18.934232
-1175.794713,200,24.92716
-973.356055,200,25.204219
-1356.071379,200,25.49582
-1795.162735,200,25.763204
-863.692467,200,26.030746
-920.801443,200,26.323948
-1710.510128,200,26.625008
-1475.746849,200,26.891711
-891.919656,200,27.161308
-882.522569,200,27.457488
-1032.313844,200,33.849402
-1281.868078,200,34.134024
-1021.365612,200,34.370156
-894.818506,200,34.65549
-1456.668498,200,34.886947
-1195.588545,200,35.141386
-1082.071644,200,35.392723
-901.390518,200,35.62271
-764.494051,200,35.851637
-975.322275,200,36.079519
-1377.897716,200,36.318635
-832.094926,200,41.723188
-772.518415,200,42.023492
-1011.535645,200,42.348785
-1591.037944,200,42.639833
-984.27522,200,42.941726
-1085.752685,200,43.247072
-833.075006,200,43.489355
-1119.311992,200,43.747349
-966.540044,200,44.057439
-1081.601293,200,44.343543
-1074.414339,200,50.479647
-1581.897215,200,50.748055
-1315.738511,200,50.992485
-1194.543137,200,51.241942
-869.122888,200,51.528755
-862.921846,200,51.773357
-974.130225,200,52.056515
-1314.951765,200,52.327522
-909.789568,200,52.616308
-862.168473,200,52.879953
-889.076262,200,58.923869
-1075.526644,200,59.155634
-1040.552444,200,59.41388
-786.361991,200,59.6723
-1460.816563,200,59.918176
-1617.963338,200,60.153967
-1618.109555,200,60.382029
-1270.596573,200,60.622018
-861.611602,200,60.85506
-1403.313291,200,61.080987
-1129.872641,200,66.794012
-1272.742723,200,67.11963
-1038.824995,200,67.37989
-1110.580859,200,67.634936
-952.536567,200,67.960937
-1207.449887,200,68.194585
-934.123808,200,68.426226
-1308.277061,200,68.727383
-925.400654,200,68.977906
-976.199981,200,69.256272
-1521.572818,200,69.486566
-1214.754021,200,74.636529
-1427.919338,200,74.895753
-1228.774975,200,75.127843
-869.157732,200,75.361252
-911.565152,200,75.607835
-1394.210952,200,75.839318
-1197.449388,200,76.070715
-888.041577,200,76.303851
-1401.016935,200,76.544248
-1422.431284,200,76.787864
-904.541202,200,82.173369
-1057.534703,200,82.433043
-1489.169036,200,82.672722
-1075.004049,200,82.903338
-792.953363,200,83.134894
-1034.918774,200,83.435439
-973.667477,200,83.6659
-947.663844,200,83.92677
-1149.893621,200,84.164805
-1319.483952,200,84.399674
-1037.983634,200,89.99453
-954.117992,200,90.269636
-1044.558739,200,90.513728
-1097.242462,200,90.75719
-1586.111888,200,90.9928
-1054.875821,200,91.237968
-1124.127396,200,91.487731
-1317.254706,200,91.722964
-1390.060796,200,91.946962
-1385.396849,200,92.242485
-1468.893075,200,97.743561
-1116.015705,200,98.019893
-1116.20623,200,98.274004
-1081.400337,200,98.526966
-1098.204409,200,98.75377
-871.945422,200,99.009854
-1532.936646,200,99.247219
-989.404402,200,99.487775
-1423.283726,200,99.726551
-1039.803091,200,99.981685
-897.02208,200,100.237222
-1174.345397,200,105.709242
-916.538513,200,105.983893
-1027.434824,200,106.236516
-921.4684,200,106.471452
-999.255973,200,106.744049
-757.448558,200,107.009887
-1239.682432,200,107.254641
-1251.717778,200,107.512349
-1037.327171,200,107.795489
-1119.742842,200,108.070753
-1078.062646,200,113.082952
-1430.50005,200,113.322588
-966.424141,200,113.575434
-1346.279206,200,113.811601
-1018.183588,200,114.043998
-1541.793763,200,114.286591
-987.270567,200,114.534248
-881.756565,200,114.805495
-877.308231,200,115.064469
-887.93853,200,115.370055
-1035.132682,200,120.948482
-1059.404303,200,121.264357
-976.403304,200,121.605846
-939.538105,200,121.937142
-1069.372391,200,122.252999
-1050.86582,200,122.569967
-1121.787906,200,122.845256
-1136.338528,200,123.20477
-1002.710347,200,123.522597
-1033.282834,200,123.823359
-904.891429,200,130.251782
-1124.294037,200,130.541318
-1027.140435,200,130.785588
-1059.213755,200,131.035223
-1176.252936,200,131.277927
-1025.446121,200,131.542717
-1036.143282,200,131.804084
-1038.35187,200,132.078506
-1082.118979,200,132.388798
-1229.724589,200,132.716926
-1001.503714,200,133.04101
-1291.968699,200,139.095984
-794.48504,200,139.356724
-908.064638,200,139.602298
-912.879642,200,139.840203
-1298.500674,200,140.077914
-1005.450616,200,140.314862
-1302.19781,200,140.56093
-1027.180776,200,140.798688
-1060.464995,200,141.032961
-1249.66156,200,141.277935
-1009.648838,200,146.883215
-871.153411,200,147.161443
-873.608363,200,147.426558
-871.049268,200,147.745623
-1107.912797,200,148.094518
-734.00161,200,148.355894
-755.872031,200,148.612571
-676.198577,200,148.901469
-1001.402374,200,149.166785
-957.2895,200,149.399404
-1046.970253,200,155.133526
-1059.957841,200,155.423347
-944.317911,200,155.669366
-869.699556,200,155.925557
-899.616405,200,156.198115
-908.405484,200,156.442988
-800.888102,200,156.674601
-1014.909615,200,156.911471
-1479.705327,200,157.166779
-818.435324,200,157.413103
-948.58029,200,162.658782
-1035.869809,200,162.933998
-1099.634624,200,163.175976
-1036.034683,200,163.420784
-872.110322,200,163.653589
-896.36867,200,163.884026
-864.33198,200,164.116654
-755.275762,200,164.409132
-1014.983937,200,164.710593
-1058.955756,200,164.95306
-1134.035797,200,165.209722
-783.815152,200,171.31822
-928.008591,200,171.663081
-1180.669158,200,171.939052
-765.413136,200,172.183205
-803.747725,200,172.470467
-1031.849071,200,172.747612
-1035.437761,200,173.03936
-1022.340184,200,173.305533
-902.828282,200,173.548758
-911.585812,200,173.809304
-724.89165,200,179.329706
-802.581952,200,179.5945
-904.696872,200,179.826922
-948.717552,200,180.07123
-923.370967,200,180.326161
-846.158326,200,180.617272
-891.504362,200,180.871726
-889.994936,200,181.115493
-955.093238,200,181.363866
-759.491495,200,181.606207
-902.076703,200,187.320922
-538.974647,200,187.654222
-615.646382,200,187.899294
-925.920376,200,188.133645
-855.946128,200,188.375476
-635.13637,200,188.649397
-630.783093,200,188.923575
-631.757325,200,189.185875
-755.735158,200,189.428913
-766.138657,200,189.69462
-887.204582,200,195.368382
-745.807918,200,195.625085
-756.38725,200,195.857533
-652.49163,200,196.0827
-980.110545,200,196.333727
-759.627291,200,196.592208
-507.920154,200,196.842624
-513.304865,200,197.069904
-762.981582,200,197.349556
-606.050709,200,197.640599
-811.967539,200,197.89297
-625.515556,200,203.104803
-680.67397,200,203.362647
-632.536027,200,203.62895
-631.35195,200,203.863564
-625.385868,200,204.131517
-636.521538,200,204.366952
-635.379195,200,204.601871
-894.990517,200,204.847353
