#{"t_start": 1699569896.4467063, "env_id": "Pendulum-v1"}
r,l,t
-1615.515561,200,0.322435
-862.343722,200,0.578706
-1177.509328,200,0.849128
-1179.364214,200,1.125217
-969.997376,200,1.366373
-1305.644626,200,1.636841
-1784.83601,200,1.914821
-920.295245,200,2.18378
-842.529483,200,2.427792
-756.769694,200,2.687729
-1666.485592,200,8.207664
-896.076731,200,8.4627
-766.889688,200,8.705858
-1685.77447,200,8.953433
-1626.474336,200,9.203759
-1289.750603,200,9.458706
-1601.633234,200,9.729414
-1201.011324,200,9.997072
-1269.875748,200,10.238905
-971.681712,200,10.479746
-1638.862432,200,16.466445
-1200.15079,200,16.701881
-1753.137315,200,16.943517
-1106.61393,200,17.194232
-874.698533,200,17.438091
-1435.239889,200,17.718971
-1633.769651,200,17.999656
-1105.035441,200,18.349077
-1194.091997,200,18.663036
-1750.777197,200,18.937365
-1870.983394,200,24.930249
-1320.080998,200,25.207359
-1200.989093,200,25.498931
-1603.597254,200,25.766289
-862.512208,200,26.033865
-1687.285197,200,26.327042
-874.40844,200,26.628128
-755.721539,200,26.894836
-1399.867355,200,27.164403
-1050.738079,200,27.460411
-1173.701912,200,33.852419
-1008.192253,200,34.137158
-1034.252364,200,34.373204
-993.666684,200,34.658683
-841.814976,200,34.890137
-1568.448799,200,35.144508
-1043.088157,200,35.395902
-1717.617641,200,35.625897
-900.302238,200,35.854827
-973.101304,200,36.082715
-1087.999973,200,36.321739
-751.715642,200,41.72633
-1185.521116,200,42.026665
-878.707172,200,42.351845
-1410.668156,200,42.642957
-974.598303,200,42.944752
-1209.768543,200,43.250161
-976.960801,200,43.492514
-1152.53385,200,43.750389
-1246.780877,200,44.060457
-897.813718,200,44.346609
-1310.191256,200,50.482808
-1524.750876,200,50.750946
-989.005084,200,50.995623
-1409.662315,200,51.245079
-1001.678573,200,51.531801
-1664.825044,200,51.776468
-857.789903,200,52.059673
-1453.167583,200,52.3306
-1757.130389,200,52.619388
-1405.34006,200,52.882953
-917.735802,200,58.92695
-939.701464,200,59.158792
-800.558883,200,59.416945
-1254.158714,200,59.67532
-1298.910238,200,59.921353
-913.943,200,60.157121
-1428.625697,200,60.385218
-1530.508034,200,60.625179
-1101.166308,200,60.858247
-1624.584399,200,61.08418
-1156.377888,200,66.796997
-1298.923523,200,67.122697
-1365.101492,200,67.383047
-1468.483668,200,67.637879
-975.969902,200,67.964092
-1281.51754,200,68.197766
-1361.582774,200,68.429413
-1198.416246,200,68.730495
-1421.215191,200,68.981058
-1281.356077,200,69.259448
-1242.225954,200,69.489748
-909.781911,200,74.639686
-1509.045382,200,74.898937
-1449.884344,200,75.131029
-1289.824047,200,75.364429
-865.240989,200,75.611017
-1342.145189,200,75.842458
-1031.636325,200,76.073872
-1047.814415,200,76.306982
-1474.553011,200,76.547243
-1177.410985,200,76.791022
-985.355383,200,82.176524
-891.874564,200,82.43621
-862.626336,200,82.675906
-750.917373,200,82.90652
-1417.437191,200,83.138075
-1122.894163,200,83.438628
-1045.808941,200,83.669053
-1042.260649,200,83.929714
-1411.161388,200,84.167977
-1093.274299,200,84.402843
-747.186917,200,89.99768
-985.716108,200,90.272771
-1438.021957,200,90.516814
-1369.068373,200,90.760358
-1404.186826,200,90.995972
-908.233554,200,91.241123
-739.945956,200,91.490863
-897.438332,200,91.726156
-765.07785,200,91.950104
-1151.291499,200,92.24562
-757.978091,200,97.746725
-982.378762,200,98.023044
-899.921472,200,98.277055
-1501.068445,200,98.530126
-975.233073,200,98.75695
-1291.511001,200,99.012768
-721.743288,200,99.250131
-1213.235039,200,99.490684
-1551.450106,200,99.729482
-1001.208204,200,99.984574
-881.568868,200,100.240233
-863.79376,200,105.712321
-1104.383188,200,105.987052
-901.067262,200,106.239676
-905.263605,200,106.47441
-1052.645886,200,106.747208
-1270.188372,200,107.012959
-886.318968,200,107.257803
-1059.290216,200,107.515346
-1415.775245,200,107.798595
-992.950271,200,108.073922
-1036.376274,200,113.086091
-1088.621624,200,113.325767
-1021.557322,200,113.578609
-921.294277,200,113.814677
-1337.729724,200,114.047165
-1026.341986,200,114.289763
-1164.817314,200,114.537199
-911.231071,200,114.808668
-1132.154407,200,115.06758
-991.077953,200,115.373196
-1130.659825,200,120.951593
-1154.02741,200,121.267413
-1077.829131,200,121.608546
-914.407885,200,121.940287
-1271.663155,200,122.256106
-1049.353719,200,122.573033
-1059.759843,200,122.848114
-906.319162,200,123.207842
-1200.746375,200,123.525577
-1030.763342,200,123.82633
-1020.160705,200,130.254923
-1001.059346,200,130.544444
-1030.948374,200,130.788771
-1075.298987,200,131.0384
-1038.923869,200,131.28107
-1033.568648,200,131.545874
-907.186156,200,131.807004
-1029.255571,200,132.081582
-1134.996095,200,132.391802
-1075.350133,200,132.719957
-1113.219268,200,133.044059
-1395.591841,200,139.099132
-812.445452,200,139.359718
-864.649684,200,139.60543
-849.102634,200,139.843357
-895.090147,200,140.081066
-980.00019,200,140.318034
-998.423364,200,140.564097
-896.24031,200,140.801696
-1210.77815,200,141.036105
-1020.228686,200,141.281064
-1122.446495,200,146.886256
-1318.384011,200,147.164598
-1020.562158,200,147.42967
-1129.95236,200,147.74837
-1092.759484,200,148.097538
-875.490712,200,148.358986
-967.852702,200,148.61149
-773.576991,200,148.904565
-752.822638,200,149.169936
-761.685548,200,149.402543
-829.490158,200,155.136587
-1121.204828,200,155.426443
-1031.410463,200,155.672376
-872.348093,200,155.928664
-771.975595,200,156.201279
-1022.660802,200,156.446148
-773.958596,200,156.677774
-755.113752,200,156.914608
-1044.022533,200,157.169885
-753.96427,200,157.416271
-910.863621,200,162.661878
-633.198952,200,162.93712
-736.242909,200,163.179147
-859.513619,200,163.423952
-1403.365348,200,163.656772
-911.101456,200,163.887212
-897.106417,200,164.119697
-900.89731,200,164.412072
-1063.338648,200,164.713742
-905.342926,200,164.956198
-1024.87672,200,165.212776
-1014.098287,200,171.32099
-902.69773,200,171.666163
-978.21204,200,171.942185
-851.483731,200,172.186251
-776.11699,200,172.473545
-1055.983344,200,172.750423
-1011.002703,200,173.042158
-981.945461,200,173.308436
-1035.609984,200,173.551887
-1028.518309,200,173.812352
-883.87685,200,179.332851
-749.47872,200,179.597669
-763.428215,200,179.829979
-942.982115,200,180.074394
-773.716762,200,180.329253
-803.886479,200,180.620429
-760.60169,200,180.874888
-900.754094,200,181.118607
-1012.416405,200,181.366948
-905.153318,200,181.609359
-629.990374,200,187.324054
-910.545649,200,187.657402
-626.200725,200,187.902407
-867.124423,200,188.136824
-766.236363,200,188.378465
-903.021865,200,188.65256
-670.993642,200,188.926733
-736.954488,200,189.189025
-727.231618,200,189.432055
-762.813909,200,189.697778
-508.098225,200,195.371313
-507.689263,200,195.628262
-624.882169,200,195.860715
-842.194116,200,196.085887
-704.659942,200,196.336908
-1010.046781,200,196.595199
-508.691688,200,196.845803
-841.519657,200,197.073064
-826.13107,200,197.352502
-741.81597,200,197.64362
-762.88067,200,197.896117
-630.786214,200,203.107906
-629.288064,200,203.365637
-792.603999,200,203.632085
-635.123731,200,203.866727
-631.682753,200,204.134696
-636.799311,200,204.370132
-562.15908,200,204.605038
-379.492163,200,204.85051
-646.27201,200,205.089422
-436.836005,200,205.339681
-608.306452,200,211.253398
-508.956265,200,211.563446
-637.111529,200,211.818561
-513.439629,200,212.119046
-784.667506,200,212.376076
-639.9115,200,212.638276
-758.660573,200,212.873513
-578.04983,200,213.155419
-383.523254,200,213.441186
-701.55229,200,213.678771
-645.750762,200,218.806683
-133.382657,200,219.101091
-256.678463,200,219.3615
-147.264197,200,219.605151
-381.586216,200,219.837922
-382.037895,200,220.082771
-515.782334,200,220.3109
-709.552511,200,220.548026
-323.372426,200,220.784502
-623.749198,200,221.012817
-379.359932,200,226.23093
-377.570558,200,226.544549
-126.887579,200,226.820024
-257.679419,200,227.13226
-260.639256,200,227.410339
-130.84206,200,227.660205
-129.652243,200,227.931773
-260.668281,200,228.175569
-388.746554,200,228.420443
-2.500724,200,228.673133
-158.829001,200,234.454759
-127.989098,200,234.745983
-254.030447,200,234.997753
-128.616405,200,235.252341
-246.027935,200,235.494211
-129.091182,200,235.762401
-251.755858,200,236.019917
-533.159756,200,236.268201
-3.612979,200,236.523053
-2.196572,200,236.767798
-248.142071,200,237.015062
-128.435621,200,242.391029
-3.493724,200,242.641929
-128.176196,200,242.869062
-130.863081,200,243.10518
-258.30415,200,243.332653
-126.546625,200,243.565404
-129.488864,200,243.820393
-125.910615,200,244.060809
-465.041274,200,244.298766
-252.939897,200,244.528114
-131.484302,200,250.237616
-130.935317,200,250.589795
-246.623906,200,250.891605
-243.580044,200,251.186656
-250.719609,200,251.480483
-252.040792,200,251.773467
-125.228809,200,252.015397
-259.969237,200,252.272786
-126.523358,200,252.527454
-132.361367,200,252.773315
-570.267316,200,258.14895
-128.785032,200,258.43095
-135.945383,200,258.709725
-127.863036,200,259.001702
-242.702922,200,259.285203
-128.560573,200,259.533641
-126.830381,200,259.80522
-127.045561,200,260.050516
-391.349884,200,260.307794
-268.24077,200,260.556071
-245.239762,200,265.869263
-125.583972,200,266.136902
-128.133885,200,266.378784
