#{"t_start": 1699569896.4492388, "env_id": "Pendulum-v1"}
r,l,t
-956.703464,200,0.320301
-1101.887644,200,0.576759
-1180.587192,200,0.847069
-1317.673949,200,1.123055
-999.61418,200,1.3642
-838.492085,200,1.634829
-873.752709,200,1.912677
-1758.388182,200,2.181602
-870.224382,200,2.425606
-1290.753822,200,2.685611
-1690.04746,200,8.205542
-1174.336536,200,8.460586
-1037.505837,200,8.703692
-873.230739,200,8.951274
-957.519571,200,9.201597
-1130.223157,200,9.456731
-1277.04885,200,9.727273
-880.601713,200,9.994906
-1187.429011,200,10.236781
-1175.293723,200,10.477567
-763.091181,200,16.464261
-1546.753631,200,16.699718
-1205.455238,200,16.941516
-1305.590454,200,17.192077
-1007.724048,200,17.43596
-1172.713375,200,17.716837
-1464.347895,200,17.997624
-1038.32939,200,18.347046
-1661.029633,200,18.660889
-1834.547071,200,18.935215
-1296.529217,200,24.928124
-1334.741661,200,25.205194
-1635.283704,200,25.496791
-1077.51385,200,25.764166
-1314.049465,200,26.031717
-1228.5271,200,26.324915
-1077.961018,200,26.625979
-867.732366,200,26.892686
-1014.420278,200,27.162274
-1187.353142,200,27.458402
-1187.466915,200,33.850348
-916.652095,200,34.135003
-916.317499,200,34.371106
-1083.627643,200,34.656482
-1525.306529,200,34.887938
-1440.274061,200,35.14236
-891.895321,200,35.393711
-997.95373,200,35.623701
-904.679185,200,35.852629
-903.237415,200,36.080511
-891.589837,200,36.31962
-973.642044,200,41.724167
-1066.599874,200,42.024477
-858.363321,200,42.349729
-877.55089,200,42.640809
-1284.23592,200,42.94267
-1007.790534,200,43.248042
-1043.523419,200,43.490337
-1403.240003,200,43.748319
-862.260688,200,44.058378
-1308.700981,200,44.3445
-962.740194,200,50.480635
-1306.377204,200,50.748952
-889.105152,200,50.993469
-968.06147,200,51.242926
-764.779984,200,51.529701
-760.345239,200,51.77433
-749.77554,200,52.057499
-865.341459,200,52.328491
-1540.017785,200,52.617245
-1345.501664,200,52.880861
-977.418599,200,58.924837
-898.902436,200,59.156621
-897.573305,200,59.414835
-749.421215,200,59.673263
-1064.531339,200,59.919163
-1232.400231,200,60.15494
-1374.331859,200,60.38302
-975.454316,200,60.623005
-1340.330731,200,60.856052
-888.655003,200,61.081977
-910.096973,200,66.794946
-1001.12175,200,67.120594
-964.069924,200,67.380872
-1356.732979,200,67.635873
-1170.25043,200,67.961919
-755.653197,200,68.195571
-861.024708,200,68.427215
-1476.929896,200,68.728349
-1082.457417,200,68.978892
-855.046183,200,69.257258
-969.286254,200,69.487554
-1215.577727,200,74.637511
-1400.892927,200,74.896739
-871.213301,200,75.128832
-1295.891976,200,75.362239
-1007.428324,200,75.608821
-1483.248853,200,75.840296
-1415.846583,200,76.071696
-941.990878,200,76.304821
-1198.761465,200,76.54518
-879.630864,200,76.788846
-1228.544489,200,82.174351
-873.221747,200,82.434027
-994.965313,200,82.67371
-1039.729562,200,82.904323
-747.238838,200,83.13588
-1232.253464,200,83.436426
-1204.443859,200,83.666881
-1014.441689,200,83.92769
-902.118085,200,84.165789
-1101.298986,200,84.400658
-778.117085,200,89.995512
-1067.667469,200,90.27061
-788.702418,200,90.51468
-783.460293,200,90.758174
-805.786482,200,90.993787
-890.472351,200,91.238951
-1134.015848,200,91.488704
-1082.251917,200,91.723955
-979.630944,200,91.947937
-1216.093248,200,92.243456
-1329.894241,200,97.744548
-1152.923065,200,98.020875
-1266.653491,200,98.274984
-1096.527233,200,98.52795
-918.97001,200,98.754751
-1394.771017,200,99.010739
-1014.131401,200,99.248107
-866.752781,200,99.488665
-1377.157466,200,99.727443
-889.887494,200,99.982563
-888.412461,200,100.238199
-767.47975,200,105.710204
-1062.572541,200,105.984876
-1103.285665,200,106.237496
-892.903588,200,106.472366
-1244.912313,200,106.74503
-1053.016677,200,107.010855
-1005.538607,200,107.255622
-1297.811131,200,107.513311
-885.253063,200,107.796458
-873.153746,200,108.071737
-882.145367,200,113.083931
-1120.889945,200,113.323573
-1390.586519,200,113.576421
-973.83364,200,113.812585
-968.788321,200,114.044972
-981.84724,200,114.287575
-1017.627873,200,114.535145
-997.019092,200,114.806482
-981.623314,200,115.065418
-1181.839988,200,115.371035
-815.38955,200,120.949437
-1047.702177,200,121.265327
-1042.536649,200,121.60666
-1046.14478,200,121.938122
-800.74161,200,122.253963
-963.871223,200,122.57094
-896.646673,200,122.846157
-1003.366469,200,123.205734
-907.842034,200,123.523506
-921.888002,200,123.824305
-1096.765601,200,130.252762
-1005.185157,200,130.542298
-1174.523031,200,130.786577
-1035.146851,200,131.036209
-1029.53933,200,131.278907
